1812 2504:0.473662189784,3500:0.478773629282,133:0.739202233406,
1813 185:0.522584123642,3500:0.364041887776,732:0.458678644451,3285:0.354202569785,1697:0.508462170022,
1814 210:0.404500572347,932:0.326247092963,1858:0.820549639341,2797:0.237992459296,
1815 3360:0.499582426558,3059:0.519300886388,541:0.693357042563,
1816 1593:0.475813466035,1546:0.475081349555,2183:0.407209047691,3446:0.553201520952,479:0.275768246068,
1817 638:0.522425793861,261:0.662472283311,254:0.536844263966,
1818 264:0.64769612061,827:0.627979023466,1853:0.431430274127,
1819 585:0.279585990029,1963:0.464822239946,1910:0.419868433633,3257:0.343139700181,571:0.313401055948,2365:0.559926229212,
1820 1049:0.274953110929,1594:0.612981999838,373:0.430279188522,3446:0.40529965763,263:0.446369647393,
1821 1496:0.911816504453,266:0.295150482663,943:0.285441508528,
1822 3533:0.808679597865,454:0.588249358689,
1823 2624:0.614211822005,1834:0.50183618499,700:0.609019113939,
1824 2945:0.517668950235,483:0.243312888225,1061:0.279043021288,328:0.400434282231,2888:0.559428781557,2105:0.348775734013,
1825 2279:0.361751921829,72:0.447694415594,3257:0.360557635461,858:0.229377930183,479:0.205013081583,1308:0.545949074421,2079:0.382097446306,
1826 3376:0.48419637917,210:0.317857184039,2675:0.644789193281,884:0.498766050551,
1827 2183:0.241675221258,1929:0.293778485358,2795:0.330087639457,3276:0.46969066724,211:0.615282704893,2105:0.383597848555,
1828 1256:0.532992312893,753:0.435471246882,210:0.472825904887,2749:0.550199646678,
1829 2782:0.495474023538,2526:0.868622755861,
1830 2928:0.757565941785,585:0.444850330683,638:0.477704958252,
1831 1049:0.421887352117,3132:0.463716006071,54:0.530034613761,1241:0.571000732095,
1832 753:0.418342700399,573:0.760133029673,454:0.404949637781,943:0.288449220981,
1833 1697:0.671857281551,3421:0.740680628359,
1834 2884:0.42593776867,2761:0.65422834895,932:0.298252170272,1765:0.365958760056,1463:0.409490065224,
1835 483:0.317951040353,205:0.512758024267,2173:0.621898003744,1725:0.499228622403,
1836 1697:0.31096734617,1543:0.369434313973,2984:0.441298829411,2099:0.304337864623,2806:0.481858478643,766:0.49725628317,
1837 416:0.672919274475,277:0.402444652748,1085:0.620659287785,
1838 2323:0.666054715928,1853:0.406551358802,1543:0.625369577167,
1839 1256:0.616909696667,484:0.63036481261,2183:0.471235216406,
1840 585:0.400227924461,932:0.386308863255,2742:0.7112427531,638:0.429786943514,
1841 1267:0.504630857325,1685:0.680312907465,454:0.27666698974,1135:0.453847356014,
1842 645:0.337489360098,2668:0.495291619214,2126:0.416491546089,1585:0.521734991369,3285:0.269976966814,732:0.349609742375,
1843 1240:0.464880792046,3217:0.489943554414,1990:0.431213836744,573:0.527993354151,454:0.281280656369,
1844 2825:0.388206074505,1694:0.921572592755,
1845 2818:0.603387049549,3500:0.453258078176,2894:0.656110648446,
1846 394:0.505472803629,2362:0.412082492507,428:0.601341516033,837:0.410695934465,943:0.210718994564,
1847 2480:0.33115978796,258:0.473356730247,3044:0.577177009577,2286:0.577177009577,
1848 1232:0.563208654444,1853:0.404760284698,2885:0.720392339972,
1849 2024:0.587072571472,1693:0.587072571472,254:0.280071403213,1957:0.481924891194,
1850 288:0.921784228169,943:0.387703284355,
1851 753:0.354675866431,3419:0.405241644592,1316:0.534989346901,2861:0.611017667417,479:0.224561902526,
1852 203:0.496276157051,2695:0.511155101222,1390:0.565136438221,2183:0.415994284374,
1853 1114:0.548004086188,852:0.698298421304,2818:0.460511494238,
1854 80:0.370584950601,2619:0.421255850425,3509:0.339075753032,2135:0.755141004433,
1855 266:0.20997504888,557:0.334123206465,48:0.410346904849,249:0.464298992694,571:0.299523704358,735:0.579507183658,479:0.186469835177,
1856 2579:0.416604009068,2075:0.525903186071,53:0.389107742063,1365:0.631238547282,
1857 199:0.707106781187,135:0.707106781187,
1858 483:0.329226697019,1609:0.427374341866,109:0.554394008792,2797:0.20316102047,210:0.345299801943,950:0.369451337592,571:0.323430970366,
1859 684:0.625529648779,2645:0.780200396371,
1860 2912:0.506178496626,3088:0.40569051929,1910:0.385291843771,1593:0.308920626329,569:0.249927287508,3068:0.522353448178,
1861 1992:0.421085741048,1807:0.907020836964,
1862 2307:0.687610020605,2825:0.27157831485,858:0.232103736425,1643:0.429282396819,181:0.463985083581,
1863 3257:0.325783487028,2079:0.345245880823,1165:0.427637798251,2279:0.326862589892,511:0.696388657426,
1864 3420:0.829996782656,124:0.557768178351,
1865 608:0.516594117721,927:0.359746490141,2462:0.653553742528,774:0.382567555813,479:0.173846343748,
1866 2260:0.756029100712,1428:0.570589980724,943:0.320697790411,
1867 207:1.0,
1868 3187:0.686802945793,2396:0.419668638819,3214:0.40549001377,2126:0.433310276793,
1869 417:0.705950055496,3438:0.483822017155,3409:0.382168958191,569:0.348565147793,
1870 932:0.369463939454,1102:0.92924506856,
1871 3500:0.366654369952,2445:0.9303572287,
1872 1049:0.599314610553,1764:0.800513583631,
